ordner;dateiname;dateityp;aktivitaet;quelle;zeitraum;enthaelt_personenbezogene_daten;erwarteter_evidenztyp;bekannte_qualitaetsprobleme
01_mentor_recruitment;mentor_bewerbungen_export_maerz_2026.csv;CSV;Mentor:innengewinnung und Auswahl;Formularexport Bewerbungstool;März 2026;ja;Prozessevidenz / administrative Evidenz;"fehlende Telefonnummern; uneinheitliche Bezirksschreibweisen; doppelte Datensätze; uneinheitliche Ja/Nein-Werte"
01_mentor_recruitment;interviewnotizen_mentorinnen_februar.docx;DOCX;Mentor:innengewinnung und Auswahl;Interne Notizen Projektkoordination;Februar 2026;ja;qualitative Evidenz;"unstrukturiert; widersprüchliche Einzelnotiz; keine durchgängige Kodierung"
01_mentor_recruitment;auswahlmatrix_mentorinnen.xlsx;XLSX;Mentor:innengewinnung und Auswahl;Interne Auswahlmatrix;Februar-März 2026;teilweise (Namen);Prozessevidenz;"fehlende Scores; ein Wert außerhalb gültiger Skala; uneinheitliche Empfehlungswerte"
01_mentor_recruitment;email_absprache_fuehrungszeugnisse.txt;E-Mail-Auszug (TXT);Mentor:innengewinnung und Auswahl;interner E-Mail-Verlauf;März-April 2026;ja;administrative Evidenz / Data-Quality-Evidenz;zeigt unvollständige Safeguarding-Dokumentation vor Trainingsstart
02_mentor_training;teilnahmeliste_mentorinnenschulung_2026-03-14.csv;CSV;Mentor:innenschulung;Anwesenheitsliste (Papier, abgetippt);14.03.2026;ja;Output-Evidenz;"abweichende ID-Formate; fehlende Unterschrift; nicht zuordenbare Teilnehmende (Walk-ins)"
02_mentor_training;teilnahmeliste_mentorinnenschulung_2026-03-15.csv;CSV;Mentor:innenschulung;Anwesenheitsliste (Papier, abgetippt);15.03.2026;ja;Output-Evidenz;"abweichende Teilnehmerzahl gegenüber Tag 1; Schreibweisen uneinheitlich"
02_mentor_training;agenda_mentorinnenschulung.pdf;PDF (Agenda);Mentor:innenschulung;Schulungsunterlage;14.-15.03.2026;nein;Prozessevidenz;keine, reine Ablaufdokumentation ohne Teilnehmerbezug
02_mentor_training;feedback_karten_abgetippt.docx;DOCX;Mentor:innenschulung;abgetippte Feedbackkarten;15.03.2026;nein;qualitative Evidenz;"nicht personenbezogen zuordenbar; keine Auswertung/Kodierung vorhanden"
02_mentor_training;kurzumfrage_training_export.xlsx;XLSX;Mentor:innenschulung;Formularexport Kurzumfrage;15.03.2026;teilweise (Mentor-ID);Outcome-Evidenz (kurzfristig);"nur 48 von 65-68 Zielgruppe geantwortet; fehlende Einzelwerte"
03_school_info_sessions;schultermine_liste.xlsx;XLSX;Informationsveranstaltungen an Schulen;interne Terminplanung;März-April 2026;nein;Prozessevidenz;"fehlende Teilnehmerzahlen; ein abgesagter Termin; abweichende Schreibweise Bezirk"
03_school_info_sessions;anmeldungen_jugendliche_infoveranstaltungen.csv;CSV;Informationsveranstaltungen an Schulen;Interessensbekundung / Anmeldeformular;März-April 2026;ja (inkl. Minderjährige);Output-Evidenz;"fehlende Einwilligungsangaben; doppelte Anmeldungen; uneinheitliche Schulnamen"
03_school_info_sessions;notizen_infoveranstaltung_neukoelln.docx;DOCX;Informationsveranstaltungen an Schulen;Facilitator-Notizen;09.03.2026;teilweise (indirekt, keine Namen);qualitative Evidenz;"keine standardisierte Erhebung; Beobachtungen unsystematisch"
03_school_info_sessions;flyertext_programm.pdf;PDF (Flyer);Informationsveranstaltungen an Schulen;Öffentlichkeitsarbeit;laufend;nein;Prozessevidenz / Kontextmaterial;kein Evidenznachweis für Wirkung, reines Werbematerial
04_matching;matching_tabelle_april_2026.xlsx;XLSX;Matching von Jugendlichen und Mentor:innen;interne Matching-Tabelle;April 2026;teilweise (IDs);Output-Evidenz;"abweichende ID-Formate; fehlende Matching-Daten; uneinheitliche Statuswerte"
04_matching;matching_entscheidungsnotizen.docx;DOCX;Matching von Jugendlichen und Mentor:innen;interne Sitzungsnotizen;08.04.2026;teilweise (IDs, keine Klarnamen durchgängig);Prozessevidenz / qualitative Evidenz;"unstrukturiert; safeguarding-Aspekt nur angedeutet"
04_matching;email_rueckfragen_matching.txt;E-Mail-Auszug (TXT);Matching von Jugendlichen und Mentor:innen;interner E-Mail-Verlauf;14.04.2026;teilweise (IDs);Data-Quality-Evidenz;zeigt inkonsistente Matching-Entscheidung (Verfügbarkeit auf 'nein' trotzdem gematcht)
05_monthly_mentoring;mentoring_treffen_log_april_juni.csv;CSV;Monatliche Mentoring-Treffen;Treffen-Log (Formular/Selbstauskunft);April-Juni 2026;teilweise (IDs);Output-Evidenz;"fehlende Treffen für einzelne Tandems; ein unmögliches Datum; nicht zuordenbare Tandem-IDs"
05_monthly_mentoring;mentoring_treffen_log_juli_september.xlsx;XLSX;Monatliche Mentoring-Treffen;Treffen-Log (Formular/Selbstauskunft);Juli-September 2026;teilweise (IDs);Output-Evidenz;"deutlich geringere Meldequote als April-Juni; viele Leerfelder"
05_monthly_mentoring;koordinationsnotizen_juni.docx;DOCX;Monatliche Mentoring-Treffen;interne Koordinationsnotizen;Juni 2026;nein (anonymisierte Einzelaussagen);qualitative Evidenz;Einzelzitate, nicht repräsentativ, nicht systematisch erhoben
05_monthly_mentoring;erinnerung_dokumentation_email.txt;E-Mail-Auszug (TXT);Monatliche Mentoring-Treffen;interne E-Mail an Mentor:innen-Verteiler;30.06.2026;nein;Data-Quality-Evidenz;belegt unvollständige/unregelmäßige Dokumentation der Treffen durch Mentor:innen
06_career_workshops;workshop_teilnahme_export.csv;CSV;Karriere- und Bewerbungstrainings;Anwesenheitserfassung Workshops;März-Juli 2026;teilweise (IDs);Output-Evidenz;"fehlende Jugend-IDs; doppelte Workshop-Themen; uneinheitliche Anwesenheitswerte"
06_career_workshops;feedback_workshop_forms.xlsx;XLSX;Karriere- und Bewerbungstrainings;Feedbackformular Workshops;März-Juli 2026;teilweise (IDs);Outcome-Evidenz;"Rücklaufquote ca. 30%; keine Baseline; fehlende Einzelwerte"
06_career_workshops;trainerinnen_notizen_bewerbungstraining.docx;DOCX;Karriere- und Bewerbungstrainings;Trainer:innen-Beobachtungen;laufend 2026;nein;qualitative Evidenz;kein formales Vorher-Nachher-Maß, nur subjektiver Eindruck
06_career_workshops;arbeitsblatt_lebenslauf.pdf;PDF (Arbeitsblatt);Karriere- und Bewerbungstrainings;Workshop-Material;14.03.2026;nein;Prozessevidenz / Kontextmaterial;kein Nachweis für individuellen Lernfortschritt
07_company_visits;unternehmensbesuche_planung.xlsx;XLSX;Unternehmensbesuche und Praxiseinblicke;interne Planungstabelle;April-September 2026;nein;Output-Evidenz;"fehlende Teilnehmerzahlen bei mehreren Terminen; abgesagte/verschobene Besuche ohne Ersatztermin dokumentiert"
07_company_visits;teilnahme_unternehmensbesuche.csv;CSV;Unternehmensbesuche und Praxiseinblicke;Teilnahmeliste je Besuch;April-September 2026;teilweise (Fotoeinwilligung);Output-Evidenz;"uneinheitliche Fotoeinwilligung; keine Angaben zu abgesagten Terminen"
07_company_visits;partnernotiz_besuch_pflegebetrieb.pdf;PDF (Partnernotiz);Unternehmensbesuche und Praxiseinblicke;externe Rückmeldung Kooperationsbetrieb;02.06.2026;nein;qualitative Evidenz;Einzelbeobachtung eines Partners, nicht verallgemeinerbar
07_company_visits;nachbereitung_unternehmensbesuch.docx;DOCX;Unternehmensbesuche und Praxiseinblicke;interne Debrief-Notizen;laufend 2026;nein;qualitative Evidenz / Data-Quality-Evidenz;"keine Nachbefragung 4 Wochen später vorhanden; Zitate nicht systematisch erhoben"
08_reflection;reflexionsnotizen_mentorinnen_q2.docx;DOCX;Reflexions- und Feedbackgespräche;Reflexionsgespräche (telefonisch/persönlich);Q2 2026;teilweise (Mentor-ID + Initiale);qualitative Evidenz (Outcome-nah);"kleine, nicht repräsentative Stichprobe; keine einheitliche Kodierung"
08_reflection;jugendliche_checkin_notizen_q2.docx;DOCX;Reflexions- und Feedbackgespräche;Check-in-Gespräche;Q2 2026;teilweise (Jugend-ID + Alter);qualitative Evidenz (Outcome-nah);freie Aussagen, keine standardisierte Erhebung, teils widersprüchliche Eindrücke
08_reflection;telefonnotizen_problemfaelle.txt;TXT;Reflexions- und Feedbackgespräche;interne Telefonnotizen;Mai-Juni 2026;ja (Einzelfälle, sensibel);Prozessevidenz / Risikodokumentation;"sensible Einzelfälle inkl. Safeguarding-Bezug; nicht abschließend dokumentiert"
08_reflection;feedbackmatrix_reflexion.xlsx;XLSX;Reflexions- und Feedbackgespräche;interne Kodiertabelle;laufend 2026;teilweise (Fall-ID);qualitative Evidenz (kodiert);"subjektive Kodierung; leere Zeilen; z.T. vage Zitate"
09_final_outcomes;abschlussbefragung_jugendliche_export.csv;CSV;Abschlussbefragung und Outcome-Erhebung;Formularexport Abschlussbefragung;Sept.-Okt. 2026;nein (nur IDs);Outcome-Evidenz;"Rücklauf 92 von 140 Teilnehmenden; vage Angaben bei 'nächster Schritt'"
09_final_outcomes;baseline_jugendliche_unvollstaendig.xlsx;XLSX;Abschlussbefragung und Outcome-Erhebung;Formularexport Baseline (Programmstart);Februar-April 2026;nein (nur IDs);Baseline-Evidenz;"nur 54 von 140 Teilnehmenden erfasst; ID-Schreibweise z.T. abweichend von Abschlussbefragung; uneinheitlicher Erhebungszeitraum"
09_final_outcomes;abschlussbefragung_mentorinnen_export.xlsx;XLSX;Abschlussbefragung und Outcome-Erhebung;Formularexport Abschlussbefragung Mentor:innen;Sept.-Okt. 2026;nein (nur IDs);Outcome-Evidenz;Rücklauf nur 38 von ca. 68 aktiven Mentor:innen
09_final_outcomes;auswertung_notizen_intern.docx;DOCX;Abschlussbefragung und Outcome-Erhebung;interne Auswertungsnotizen (Entwurf);Oktober 2026;nein;Data-Quality-Evidenz / Prozessevidenz;"unfertig; offene methodische Fragen; kein Fazit enthalten"
09_final_outcomes;datenqualitaet_fragen_email.txt;E-Mail-Auszug (TXT);Abschlussbefragung und Outcome-Erhebung;interner E-Mail-Verlauf;06.-07.10.2026;nein;Data-Quality-Evidenz;dokumentiert offene Fragen zu Rücklaufquote, Baseline-Lücken und Zitatverwendung
